first_name;last_name;telephone;specialite;email;ville;pays;photo_url;bio;clinique_nom;adresse;latitude;longitude;langues;tarif_min;tarif_max;secteur;note;types_consultation
Ahmed;Benali;0602000001;Cardiologue;ahmed.benali1@gmail.com;Casablanca;Maroc;https://loremflickr.com/400/400/cardiology,doctor?lock=1;Cardiologue expérimenté;Clinique Al Amal;Centre ville Casablanca;33.5731;-7.5898;{Français,Arabe};200;400;privé;4.5;{cabinet,video}
Sara;El Amrani;0602000002;Dermatologue;sara.elamrani2@gmail.com;Rabat;Maroc;https://loremflickr.com/400/400/dermatology,doctor?lock=2;Spécialiste en dermatologie;Clinique Ibn Sina;Agdal Rabat;34.0209;-6.8416;{Français,Anglais};150;300;privé;4.3;{cabinet}
Youssef;Haddad;0602000003;Généraliste;youssef.haddad3@gmail.com;Tunis;Tunisie;https://loremflickr.com/400/400/doctor,clinic?lock=3;Médecin généraliste;Centre Médical Ennasr;Ennasr Tunis;36.8065;10.1815;{Français,Arabe};100;200;public;4.1;{cabinet}
Nadia;Khaldi;0602000004;Pédiatre;nadia.khaldi4@gmail.com;Alger;Algérie;https://loremflickr.com/400/400/pediatrician,doctor?lock=4;Pédiatre passionnée;Clinique El Wiam;Hydra Alger;36.7538;3.0588;{Français,Arabe};150;300;privé;4.6;{cabinet,video}
Omar;Fassi;0602000005;Neurologue;omar.fassi5@gmail.com;Fès;Maroc;https://loremflickr.com/400/400/neurology,doctor?lock=5;Neurologue confirmé;Clinique Atlas;Ville nouvelle Fès;34.0331;-5.0003;{Français};250;500;privé;4.7;{cabinet}
Imane;Zahraoui;0602000006;Gynécologue;imane.zahraoui6@gmail.com;Marrakech;Maroc;https://loremflickr.com/400/400/gynecology,doctor?lock=6;Gynécologue obstétricienne;Clinique Menara;Guéliz Marrakech;31.6295;-7.9811;{Français,Arabe};200;450;privé;4.4;{cabinet,video}
Hassan;El Idrissi;0602000007;Orthopédiste;hassan.idrissi7@gmail.com;Tanger;Maroc;https://loremflickr.com/400/400/orthopedic,doctor?lock=7;Chirurgien orthopédiste;Clinique Détroit;Malabata;35.7595;-5.8339;{Français,Espagnol};300;600;privé;4.2;{cabinet}
Lina;Bouzidi;0602000008;Psychiatre;lina.bouzidi8@gmail.com;Sfax;Tunisie;https://loremflickr.com/400/400/psychiatrist,doctor?lock=8;Psychiatre clinicienne;Centre El Amal;Centre Sfax;34.7406;10.7603;{Français,Arabe};200;350;privé;4.5;{cabinet,video}
Karim;Saidi;0602000009;Ophtalmologue;karim.saidi9@gmail.com;Oran;Algérie;https://loremflickr.com/400/400/ophthalmology,doctor?lock=10;Spécialiste de la vision;Clinique El Nour;Akid Lotfi;35.6971;-0.6308;{Français};250;500;privé;4.6;{cabinet}
Amina;Cherkaoui;0602000010;Endocrinologue;amina.cherkaoui10@gmail.com;Casablanca;Maroc;https://loremflickr.com/400/400/endocrinology,doctor?lock=11;Endocrinologue;Clinique Zerktouni;Maarif;33.5883;-7.6114;{Français,Anglais};220;420;privé;4.4;{cabinet,video}
